numcode,country,Carbon1971,Carbon1972,Carbon1973,Carbon1974,Carbon1975,Carbon1976,Carbon1977,Carbon1978,Carbon1979,Carbon1980,Carbon1981,Carbon1982,Carbon1983,Carbon1984,Carbon1985,Carbon1986,Carbon1987,Carbon1988,Carbon1989,Carbon1990,Carbon1991,Carbon1992,Carbon1993,Carbon1994,Carbon1995,Carbon1996,Carbon1997,Carbon1998,Carbon1999,Carbon2000,Carbon2001,Carbon2002,Carbon2003,Carbon2004,Carbon2005,Carbon2006,Carbon2007,Carbon2008,Carbon2009,Carbon2010,Carbon2011,Carbon2012,Carbon2013,Carbon2014,Carbon2015,Carbon2016,Carbon2017,Carbon2018,Carbon2019,Carbon2020,Carbon2021,Carbon2022,Carbon2023,Carbon2024,Carbon2025,Carbon2026,Carbon2027,Carbon2028,Carbon2029,Carbon2030,Carbon2031,Carbon2032,Carbon2033,Carbon2034,Carbon2035,Carbon2036,Carbon2037,Carbon2038,Carbon2039,Carbon2040
12,Algeria,0.00975,0.01112,0.01315,0.01419,0.01504,0.01716,0.01928,0.02292,0.02893,0.02902,0.0306,0.04068,0.04397,0.04418,0.04642,0.05091,0.05043,0.053,0.05245,0.05473,0.05833,0.05992,0.05933,0.05808,0.05977,0.05856,0.05889,0.06172,0.06518,0.06596,0.0664,0.0703,0.07514,0.07649,0.0801,0.08646,0.09179,0.09302,0.10109,0.09884,0.10397,0.11493,0.117540221,0.120150442,0.122760663,0.125370884,0.127981105,0.130591326,0.133201547,0.135811768,0.137532205,0.139252642,0.140973079,0.142693517,0.149575265,0.151135687,0.152696109,0.15425653,0.155816952,0.162058638,0.164157429,0.166256219,0.16835501,0.170453801,0.178848963,0.181336613,0.183824263,0.186311913,0.188799563,0.198750164
24,Angola,0.00173,0.00252,0.00238,0.00252,0.0021,0.002,0.00162,0.00264,0.00263,0.00267,0.00256,0.00218,0.00237,0.00225,0.00289,0.00286,0.00297,0.00338,0.00348,0.00412,0.00419,0.00397,0.00431,0.00424,0.00393,0.00421,0.00437,0.00401,0.00482,0.00505,0.00566,0.00624,0.00766,0.00772,0.00641,0.00829,0.00962,0.01165,0.01392,0.01558,0.01562,0.01619,0.016557698,0.016925395,0.017293093,0.01766079,0.018028488,0.018396185,0.018763883,0.01913158,0.019373935,0.019616291,0.019858646,0.020101001,0.021070422,0.021290236,0.02151005,0.021729864,0.021949678,0.022828934,0.023124587,0.02342024,0.023715893,0.024011546,0.025194159,0.02554459,0.025895021,0.026245453,0.026595884,0.027997609
204,Benin,0.0003,0.0004,0.00041,0.00042,0.00046,0.00028,0.00033,0.00038,0.00038,0.00039,0.0003,0.00036,0.00036,0.00037,0.00047,0.00041,0.00036,0.00035,0.00027,0.00024,0.0002,0.00021,0.00021,0.00021,0.00021,0.00086,0.00115,0.00113,0.00143,0.00148,0.00169,0.00195,0.00226,0.00241,0.00229,0.00317,0.00377,0.00379,0.00406,0.0045,0.00468,0.00492,0.00503174,0.00514348,0.00525522,0.00536696,0.0054787,0.00559044,0.005702181,0.005813921,0.00588757,0.00596122,0.006034869,0.006108519,0.006403118,0.006469917,0.006536717,0.006603516,0.006670316,0.006937514,0.007027361,0.007117207,0.007207053,0.0072969,0.007656286,0.007762779,0.007869272,0.007975764,0.008082257,0.008508229
72,Botswana,0,0,0,0,0,0,0,0,0,0,0.00136,0.00142,0.00138,0.00137,0.00148,0.0017,0.00177,0.00212,0.00233,0.00276,0.00269,0.00324,0.00319,0.00305,0.00316,0.0029,0.00306,0.00367,0.00384,0.00399,0.00397,0.00406,0.00392,0.00399,0.00419,0.00428,0.00435,0.00462,0.00402,0.00478,0.0045,0.00446,0.004561293,0.004662586,0.004763879,0.004865171,0.004966464,0.005067757,0.00516905,0.005270343,0.005337106,0.00540387,0.005470634,0.005537397,0.005804452,0.005865006,0.00592556,0.005986114,0.006046668,0.006288885,0.006370331,0.006451777,0.006533223,0.006614669,0.006940454,0.00703699,0.007133527,0.007230063,0.007326599,0.007712745
120,Cameroon,0.00073,0.00076,0.00079,0.00082,0.00104,0.00096,0.00139,0.00147,0.00159,0.0017,0.00187,0.00202,0.0022,0.0023,0.00254,0.00247,0.00244,0.00262,0.00283,0.00273,0.00255,0.00239,0.00255,0.00271,0.0026,0.00261,0.00275,0.00286,0.00261,0.00301,0.00292,0.00303,0.00334,0.00346,0.0032,0.0034,0.00529,0.00507,0.00622,0.00632,0.00543,0.00566,0.005788547,0.005917093,0.00604564,0.006174186,0.006302733,0.006431279,0.006559826,0.006688372,0.006773099,0.006857826,0.006942553,0.00702728,0.007366188,0.007443035,0.007519881,0.007596728,0.007673575,0.007980961,0.008084321,0.008187681,0.008291041,0.008394401,0.008807841,0.008930351,0.009052861,0.009175371,0.009297882,0.009787922
178,Congo,0.00058,0.00061,0.0006,0.00061,0.00061,0.00075,0.00064,0.00068,0.00066,0.0007,0.00073,0.0008,0.00093,0.00084,0.00087,0.00081,0.00082,0.00072,0.00076,0.00072,0.00075,0.00072,0.00071,0.00047,0.00058,0.00046,0.00037,0.00033,0.00032,0.0005,0.00063,0.00051,0.00086,0.00086,0.00099,0.00113,0.00123,0.00132,0.00173,0.00196,0.00228,0.0023,0.002352236,0.002404472,0.002456709,0.002508945,0.002561181,0.002613417,0.002665654,0.00271789,0.002752319,0.002786749,0.002821179,0.002855609,0.002993327,0.003024555,0.003055782,0.00308701,0.003118237,0.003243147,0.003285148,0.00332715,0.003369151,0.003411152,0.003579158,0.003628941,0.003678724,0.003728508,0.003778291,0.003977424
384,Côte d'Ivoire,0.00241,0.00265,0.00273,0.00287,0.00309,0.00356,0.00349,0.00403,0.00371,0.00343,0.00301,0.0027,0.00242,0.00223,0.00247,0.00332,0.00324,0.00333,0.00323,0.00293,0.00302,0.00406,0.00435,0.00444,0.00388,0.00533,0.00535,0.00492,0.00783,0.00675,0.00585,0.00702,0.00566,0.00626,0.00648,0.00526,0.00649,0.0066,0.00557,0.00593,0.00627,0.00834,0.008529413,0.008718826,0.008908239,0.009097652,0.009287065,0.009476478,0.009665891,0.009855304,0.00998015,0.010104995,0.01022984,0.010354685,0.010854065,0.010967299,0.011080532,0.011193765,0.011306999,0.011759932,0.011912233,0.012064534,0.012216834,0.012369135,0.012978338,0.013158856,0.013339375,0.013519893,0.013700412,0.014422486
180,Democratic Republic of Congo,0.00266,0.00271,0.00287,0.00292,0.00294,0.00277,0.00291,0.00297,0.0034,0.0029,0.00351,0.0028,0.00369,0.0043,0.00338,0.00309,0.00342,0.00365,0.0032,0.00413,0.00307,0.00278,0.00265,0.00166,0.00205,0.00225,0.00185,0.00163,0.00134,0.00085,0.00071,0.00076,0.00093,0.00102,0.00127,0.00137,0.0015,0.00167,0.00153,0.00179,0.00229,0.00241,0.002464734,0.002519469,0.002574203,0.002628938,0.002683672,0.002738407,0.002793141,0.002847876,0.002883952,0.002920028,0.002956105,0.002992181,0.003136486,0.003169207,0.003201928,0.003234649,0.00326737,0.003398254,0.003442264,0.003486274,0.003530284,0.003574294,0.003750335,0.003802499,0.003854663,0.003906828,0.003958992,0.004167649
818,Egypt,0.02024,0.0224,0.02044,0.02344,0.02555,0.02979,0.03227,0.03316,0.0366,0.03856,0.04565,0.05029,0.05616,0.06227,0.06735,0.06843,0.07345,0.07537,0.07993,0.08391,0.0833,0.08554,0.08772,0.08254,0.08789,0.09438,0.09839,0.10603,0.10532,0.09968,0.11157,0.11254,0.11689,0.12882,0.15,0.15846,0.16902,0.17682,0.18204,0.17701,0.18562,0.19026,0.194581071,0.198902141,0.203223212,0.207544282,0.211865353,0.216186424,0.220507494,0.224828565,0.227676649,0.230524734,0.233372819,0.236220904,0.247613243,0.250196431,0.252779619,0.255362807,0.257945995,0.268278748,0.271753175,0.275227602,0.278702029,0.282176456,0.296074164,0.300192326,0.304310487,0.308428649,0.31254681,0.329019457
232,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00046,0.00061,0.00069,0.00078,0.00085,0.00075,0.00058,0.00062,0.0006,0.00063,0.0006,0.00072,0.00077,0.00077,0.00055,0.00057,0.0004,0.0005,0.0005,0.00051,0.00054,0.000552264,0.000564528,0.000576792,0.000589057,0.000601321,0.000613585,0.000625849,0.000638113,0.000646197,0.00065428,0.000662364,0.000670447,0.000702781,0.000710113,0.000717445,0.000724776,0.000732108,0.000761434,0.000771296,0.000781157,0.000791018,0.000800879,0.000840324,0.000852012,0.000863701,0.000875389,0.000887077,0.00093383
231,Ethiopia,0.00135,0.00123,0.00131,0.00134,0.0012,0.00121,0.00118,0.00129,0.00137,0.00144,0.00153,0.00141,0.00151,0.00139,0.00143,0.00168,0.00207,0.00213,0.00225,0.0024,0.00237,0.00157,0.00201,0.00234,0.00267,0.00287,0.00286,0.00298,0.00297,0.00326,0.00408,0.00426,0.00461,0.00485,0.00455,0.00487,0.00546,0.00594,0.00607,0.00607,0.00699,0.00793,0.008110101,0.008290203,0.008470304,0.008650406,0.008830507,0.009010608,0.00919071,0.009370811,0.009489519,0.009608226,0.009726934,0.009845642,0.010320472,0.010428139,0.010535806,0.010643472,0.010751139,0.011181806,0.01132662,0.011471433,0.011616247,0.01176106,0.012340314,0.012511958,0.012683602,0.012855246,0.013026891,0.013713467
266,Gabon,0.00169,0.00158,0.00253,0.0028,0.00213,0.002,0.00222,0.00274,0.00222,0.00223,0.00264,0.00268,0.0028,0.00243,0.00188,0.00183,0.00159,0.00176,0.00144,0.00106,0.0011,0.00125,0.00139,0.00093,0.00115,0.00129,0.00131,0.00149,0.00132,0.0013,0.00153,0.00146,0.00145,0.0015,0.00171,0.00177,0.00192,0.00198,0.00213,0.00236,0.00246,0.00245,0.002505643,0.002561286,0.002616929,0.002672572,0.002728215,0.002783858,0.0028395,0.002895143,0.002931819,0.002968494,0.003005169,0.003041844,0.003188544,0.003221808,0.003255072,0.003288336,0.0033216,0.003454656,0.003499397,0.003544138,0.003588878,0.003633619,0.003812581,0.003865611,0.003918641,0.003971671,0.004024701,0.004236822
288,Ghana,0.00194,0.00204,0.0022,0.0023,0.00248,0.00221,0.00263,0.00258,0.00226,0.00223,0.00257,0.00283,0.00123,0.0019,0.00253,0.00233,0.00296,0.00212,0.00282,0.00285,0.00268,0.00268,0.00304,0.00321,0.00359,0.00381,0.00422,0.00584,0.00589,0.00525,0.00601,0.00672,0.00652,0.00654,0.00661,0.00801,0.00858,0.00796,0.00905,0.01062,0.01114,0.01283,0.013121387,0.013412774,0.013704162,0.013995549,0.014286936,0.014578323,0.014869711,0.015161098,0.015353156,0.015545214,0.015737271,0.015929329,0.016697561,0.016871756,0.01704595,0.017220145,0.01739434,0.018091119,0.018325414,0.018559708,0.018794003,0.019028298,0.019965476,0.020243181,0.020520885,0.020798589,0.021076293,0.02218711
404,Kenya,0.00324,0.00348,0.00345,0.00352,0.00343,0.00388,0.00418,0.00415,0.00418,0.00434,0.00427,0.00404,0.00368,0.00431,0.00458,0.0053,0.00559,0.00559,0.00589,0.0057,0.00551,0.00557,0.00552,0.00519,0.00571,0.00624,0.00601,0.00658,0.0069,0.00771,0.00703,0.00681,0.0058,0.00668,0.00747,0.00863,0.00856,0.00905,0.01087,0.01164,0.01177,0.01066,0.010902104,0.011144207,0.011386311,0.011628414,0.011870518,0.012112621,0.012354725,0.012596828,0.012756402,0.012915976,0.013075551,0.013235125,0.013873421,0.014018154,0.014162886,0.014307619,0.014452351,0.015031281,0.015225948,0.015420615,0.015615282,0.01580995,0.016588619,0.016819353,0.017050088,0.017280823,0.017511558,0.018434497
434,Libya,0.00378,0.00557,0.00669,0.00766,0.00989,0.00902,0.01101,0.01276,0.01386,0.01721,0.01873,0.0204,0.02048,0.02276,0.02468,0.02469,0.02775,0.02673,0.02829,0.02725,0.02725,0.02726,0.02844,0.03279,0.03483,0.03705,0.03709,0.0379,0.0374,0.03964,0.04074,0.04234,0.04391,0.04538,0.04572,0.04474,0.04132,0.04472,0.04887,0.05095,0.03524,0.04411,0.0451118,0.0461136,0.047115399,0.048117199,0.049118999,0.050120799,0.051122598,0.052124398,0.0527847,0.053445002,0.054105304,0.054765605,0.057406812,0.0580057,0.058604588,0.059203476,0.059802364,0.062197916,0.06300343,0.063808943,0.064614457,0.06541997,0.068642023,0.069596781,0.070551538,0.071506295,0.072461052,0.076280081
480,Mauritius,0.00026,0.00029,0.00032,0.00039,0.00042,0.00048,0.00056,0.0006,0.0006,0.00057,0.00057,0.00053,0.0006,0.00064,0.0006,0.00075,0.0008,0.00089,0.001,0.00115,0.00124,0.00131,0.00145,0.0015,0.00153,0.0016,0.00161,0.00177,0.00217,0.0024,0.00253,0.00258,0.00271,0.00273,0.00292,0.00326,0.00335,0.00342,0.00337,0.00361,0.0036,0.00369,0.003773805,0.00385761,0.003941415,0.00402522,0.004109025,0.00419283,0.004276635,0.00436044,0.004415678,0.004470915,0.004526152,0.004581389,0.004802338,0.004852438,0.004902538,0.004952637,0.005002737,0.005203136,0.00527052,0.005337905,0.00540529,0.005472675,0.005742214,0.005822084,0.005901954,0.005981823,0.006061693,0.006381172
504,Morocco,0.00685,0.00749,0.0086,0.00941,0.00992,0.01088,0.012,0.01279,0.0136,0.01391,0.01406,0.01478,0.01555,0.01606,0.0164,0.01706,0.01759,0.01845,0.01981,0.02016,0.02097,0.02207,0.02321,0.0249,0.02517,0.02656,0.02719,0.02798,0.0296,0.02996,0.0325,0.03338,0.0327,0.03649,0.0401,0.04042,0.042,0.04364,0.04289,0.04634,0.05022,0.0521,0.053283264,0.054466528,0.055649792,0.056833055,0.058016319,0.059199583,0.060382847,0.061566111,0.062346018,0.063125926,0.063905833,0.064685741,0.067805371,0.068512741,0.06922011,0.06992748,0.070634849,0.073464326,0.074415749,0.075367172,0.076318594,0.077270017,0.081075707,0.082203407,0.083331107,0.084458807,0.085586507,0.090097307
508,Mozambique,0.00301,0.00269,0.00286,0.00266,0.00243,0.00222,0.00244,0.00179,0.00189,0.00239,0.00192,0.0019,0.00173,0.00148,0.00149,0.00145,0.00145,0.00147,0.00144,0.001,0.00091,0.00102,0.00116,0.00102,0.0011,0.00106,0.00128,0.00105,0.00113,0.00145,0.00149,0.00137,0.00166,0.00169,0.00151,0.00162,0.00199,0.00194,0.00219,0.00235,0.00279,0.00259,0.002648823,0.002707645,0.002766468,0.00282529,0.002884113,0.002942935,0.003001758,0.00306058,0.003099351,0.003138122,0.003176893,0.003215664,0.003370747,0.003405912,0.003441076,0.003476241,0.003511406,0.003652065,0.003699363,0.00374666,0.003793957,0.003841254,0.004030443,0.004086503,0.004142564,0.004198624,0.004254684,0.004478926
516,Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112,0.00122,0.00142,0.00163,0.00177,0.00192,0.00196,0.00201,0.00197,0.00192,0.00241,0.00208,0.00222,0.00232,0.00233,0.00235,0.00243,0.00279,0.00286,0.00299,0.00301,0.00318,0.003252222,0.003324444,0.003396667,0.003468889,0.003541111,0.003613333,0.003685556,0.003757778,0.003805381,0.003852984,0.003900586,0.003948189,0.0041386,0.004181776,0.004224951,0.004268126,0.004311302,0.004484003,0.004542075,0.004600146,0.004658217,0.004716289,0.004948575,0.005017406,0.005086236,0.005155067,0.005223898,0.005499221
566,Nigeria,0.00593,0.00715,0.0092,0.0099,0.01181,0.01485,0.01844,0.0216,0.0236,0.02685,0.03036,0.03442,0.03511,0.03177,0.03315,0.03097,0.03308,0.0342,0.03628,0.03823,0.04179,0.04575,0.04381,0.03549,0.03633,0.0405,0.04214,0.03724,0.03982,0.04289,0.04957,0.05101,0.05655,0.05695,0.06054,0.05438,0.0499,0.05491,0.04598,0.05751,0.06254,0.06519,0.066670556,0.068151112,0.069631668,0.071112224,0.07259278,0.074073336,0.075553892,0.077034448,0.078010306,0.078986163,0.079962021,0.080937878,0.084841308,0.085726402,0.086611497,0.087496591,0.088381685,0.091922062,0.093112527,0.094302993,0.095493458,0.096683923,0.101445783,0.102856815,0.104267848,0.10567888,0.107089912,0.11273404
686,Senegal,0.00124,0.00125,0.00138,0.00149,0.00161,0.00168,0.00176,0.00175,0.00194,0.00204,0.002,0.00193,0.00193,0.00214,0.00193,0.00215,0.00245,0.00215,0.0021,0.00219,0.00214,0.00244,0.0024,0.00233,0.00253,0.00257,0.00285,0.0031,0.00337,0.00361,0.00406,0.00406,0.00395,0.00456,0.00473,0.00474,0.00498,0.00517,0.00508,0.00542,0.00597,0.00566,0.005788547,0.005917093,0.00604564,0.006174186,0.006302733,0.006431279,0.006559826,0.006688372,0.006773099,0.006857826,0.006942553,0.00702728,0.007366188,0.007443035,0.007519881,0.007596728,0.007673575,0.007980961,0.008084321,0.008187681,0.008291041,0.008394401,0.008807841,0.008930351,0.009052861,0.009175371,0.009297882,0.009787922
710,South Africa,0.14966,0.15128,0.16127,0.16742,0.17624,0.18368,0.18695,0.19693,0.20348,0.21534,0.24011,0.26445,0.2696,0.28987,0.28851,0.29859,0.31123,0.31805,0.29918,0.29162,0.30561,0.28145,0.30797,0.31685,0.33412,0.33793,0.34432,0.33603,0.34605,0.34584,0.3584,0.34551,0.37652,0.41582,0.41213,0.41159,0.44036,0.47703,0.45998,0.45825,0.4522,0.44559,0.455709972,0.465829944,0.475949916,0.486069887,0.496189859,0.506309831,0.516429803,0.526549775,0.533220005,0.539890236,0.546560467,0.553230697,0.57991162,0.585961461,0.592011303,0.598061144,0.604110985,0.62831035,0.636447478,0.644584606,0.652721734,0.660858862,0.693407373,0.703052131,0.712696889,0.722341646,0.731986404,0.770565435
729,Sudan,0.00414,0.00415,0.00443,0.00427,0.00391,0.0034,0.00356,0.00336,0.00302,0.00388,0.00354,0.00404,0.00387,0.00368,0.0043,0.00421,0.00328,0.00465,0.00421,0.00558,0.00511,0.00471,0.00339,0.00491,0.00471,0.00474,0.00531,0.00549,0.00951,0.00704,0.00696,0.00892,0.00837,0.00917,0.01068,0.01363,0.01465,0.01557,0.01598,0.01573,0.01488,0.01424,0.01456341,0.014886821,0.015210231,0.015533641,0.015857052,0.016180462,0.016503872,0.016827282,0.017040447,0.017253612,0.017466777,0.017679941,0.018532601,0.018725939,0.018919278,0.019112616,0.019305955,0.020079309,0.020339353,0.020599396,0.020859439,0.021119482,0.022159656,0.022467879,0.022776103,0.023084326,0.02339255,0.024625444
768,Togo,0.00034,0.00036,0.0003,0.00027,0.00031,0.00027,0.00034,0.00036,0.00043,0.00039,0.00036,0.00043,0.0003,0.00034,0.00029,0.00048,0.00052,0.0005,0.00051,0.00057,0.00052,0.00037,0.00025,0.00058,0.00057,0.00094,0.00066,0.00082,0.0011,0.00096,0.00081,0.00088,0.0011,0.00103,0.00098,0.00085,0.00094,0.00108,0.00225,0.00207,0.00188,0.00162,0.001656792,0.001693585,0.001730377,0.00176717,0.001803962,0.001840755,0.001877547,0.00191434,0.00193859,0.001962841,0.001987091,0.002011342,0.002108344,0.002130339,0.002152334,0.002174329,0.002196324,0.002284303,0.002313887,0.002343471,0.002373054,0.002402638,0.002520972,0.002556037,0.002591102,0.002626166,0.002661231,0.00280149
788,Tunisia,0.00372,0.00419,0.00428,0.0049,0.00504,0.00542,0.00602,0.00664,0.00732,0.00801,0.00827,0.00803,0.00938,0.00981,0.01012,0.01031,0.01009,0.01092,0.01078,0.01233,0.01241,0.01381,0.01329,0.01402,0.01401,0.0146,0.01495,0.01633,0.01684,0.01741,0.0183,0.01851,0.01879,0.01982,0.01955,0.02069,0.02126,0.02201,0.02113,0.02327,0.02208,0.023,0.023522362,0.024044724,0.024567086,0.025089449,0.025611811,0.026134173,0.026656535,0.027178897,0.027523194,0.027867491,0.028211788,0.028556085,0.029933273,0.030245548,0.030557822,0.030870097,0.031182371,0.032431469,0.032851482,0.033271496,0.03369151,0.034111524,0.035791579,0.036289412,0.036787245,0.037285078,0.037782911,0.039774243
834,United Republic of Tanzania,0.00211,0.00229,0.00236,0.00214,0.00194,0.00211,0.00201,0.00213,0.00215,0.00218,0.00207,0.00197,0.00199,0.00197,0.00198,0.00207,0.00202,0.00196,0.00198,0.00204,0.00204,0.00187,0.00211,0.00212,0.00301,0.00283,0.00263,0.00242,0.00218,0.00253,0.00277,0.00318,0.00332,0.00459,0.00508,0.00548,0.00527,0.00547,0.00515,0.00618,0.0073,0.00883,0.009030542,0.009231083,0.009431625,0.009632167,0.009832708,0.01003325,0.010233792,0.010434333,0.010566513,0.010698693,0.010830873,0.010963054,0.011491774,0.01161166,0.011731546,0.011851433,0.011971319,0.012450864,0.012612113,0.012773361,0.01293461,0.013095859,0.013740854,0.013931979,0.014123103,0.014314228,0.014505352,0.015269851
894,Zambia,0.00343,0.00385,0.00417,0.00419,0.00327,0.00421,0.00369,0.00348,0.00315,0.0034,0.00316,0.00316,0.00306,0.00295,0.00295,0.00294,0.00292,0.00333,0.00325,0.00273,0.00288,0.0028,0.00247,0.00216,0.0021,0.00177,0.00229,0.00222,0.00173,0.00171,0.0018,0.00192,0.00203,0.00204,0.00217,0.00206,0.0015,0.00169,0.00178,0.00187,0.00223,0.00289,0.002955636,0.003021272,0.003086908,0.003152544,0.00321818,0.003283816,0.003349452,0.003415088,0.003458349,0.003501611,0.003544873,0.003588134,0.003761181,0.003800419,0.003839657,0.003878895,0.003918133,0.004075085,0.00412786,0.004180636,0.004233411,0.004286187,0.00449729,0.004559843,0.004622397,0.004684951,0.004747505,0.00499772
